Rank,University,Location
1,Massachusetts Institute of Technology,Cambridge
2,Harvard University,Cambridge
3,Stanford University,Stanford ...
4,Cornell University,Ithaca
5,"University of California, Berkeley",Berkeley ...
6,University of Michigan,Ann Arbor ...
7,University of Washington,Seattle ...
8,Columbia University in the City of New York,New York City
9,"University of California, Los Angeles",Los Angeles ...
10,Yale University,New Haven
11,University of Pennsylvania,Philadelphia
12,University of Wisconsin-Madison,Madison
13,The University of Texas at Austin,Austin
14,University of Chicago,Chicago
15,Princeton University,Princeton
16,University of Minnesota Twin Cities,Minneapolis ...
17,Purdue University,West Lafayette
18,"University of California, Davis",Davis ...
19,"University of California, San Diego",San Diego ...
20,Johns Hopkins University,Baltimore ...
21,New York University,New York City ...
22,Penn State University,University Park ...
23,University of Florida,Gainesville
24,Michigan State University,East Lansing
25,University of Southern California,Los Angeles
26,University of North Carolina at Chapel Hill,Chapel Hill
27,Carnegie Mellon University,Pittsburgh ...
28,Arizona State University,Tempe ...
29,Duke University,Durham
30,University of Maryland,College Park
31,"Rutgers, The State University of New Jersey",New Brunswick ...
32,University of Illinois Urbana-Champaign,Champaign ...
33,The Ohio State University,Columbus ...
34,University of Colorado Boulder,Boulder
35,Texas A&M University,College Station
36,The University of Arizona,Tucson
37,"University of California, Irvine",Irvine ...
38,Northwestern University,Evanston ...
39,University of Virginia,Charlottesville ...
40,Boston University,Boston ...
41,North Carolina State University,Raleigh
42,The University of Utah,Salt Lake City
43,Indiana University Bloomington,Bloomington
44,"University of California, Santa Barbara",Santa Barbara ...
45,Georgetown University,Washington
46,University of Pittsburgh,Pittsburgh ...
47,Washington University in St. Louis,St. Louis
48,Tufts University,Medford
49,University of Nebraska-Lincoln,Lincoln
50,Virginia Polytechnic Institute and State University,Blacksburg
51,Oregon State University,Corvallis ...
52,Brigham Young University,Provo
53,Georgia Institute of Technology,Atlanta
54,University of Georgia,Athens
55,University of Rochester,Rochester
56,Brown University,Providence
57,California Institute of Technology,Pasadena
58,University of Iowa,Iowa City ...
59,Iowa State University,Ames
60,Colorado State University,Fort Collins
61,"University of California, San Francisco",San Francisco ...
62,George Washington University,Washington ...
63,University of Massachusetts Amherst,Amherst
64,George Mason University,Fairfax
65,University of South Florida,Tampa ...
66,Washington State University,Pullman
67,Florida State University,Tallahassee ...
68,Vanderbilt University,Nashville
69,Syracuse University,Syracuse
70,University of Oregon,Eugene ...
71,Emory University,Atlanta
72,"University of California, Santa Cruz",Santa Cruz ...
73,University of Notre Dame,Notre Dame
74,Dartmouth College,Hanover
75,University of Connecticut,Storrs ...
76,University of Houston,Houston
77,"University at Buffalo, State University of New York",Buffalo ...
78,University of Kentucky,Lexington
79,University of Illinois Chicago,Chicago ...
80,"University of California, Riverside",Riverside ...
81,Rice University,Houston
82,University of Central Florida,Orlando ...
83,University of Missouri,Columbia
84,Georgia State University,Atlanta
85,Northeastern University,Boston ...
86,University of Kansas,Lawrence ...
87,University of Delaware,Newark
88,"The University of Tennessee, Knoxville",Knoxville ...
89,University of New Mexico,Albuquerque ...
90,University of Miami,Coral Gables ...
91,University of North Texas,Denton ...
92,University of South Carolina,Columbia ...
93,Boston College,Chestnut Hill
94,Louisiana State University,Baton Rouge
95,Florida International University,Miami
96,San Diego State University,San Diego ...
97,Temple University,Philadelphia ...
98,Drexel University,Philadelphia
99,University of Cincinnati,Cincinnati
100,Clemson University,Clemson
101,University of New Hampshire,Durham ...
102,Rochester Institute of Technology,Rochester
103,University of Vermont,Burlington
104,Utah State University,Logan ...
105,American University,Washington
106,Case Western Reserve University,Cleveland
107,Fordham University,The Bronx ...
108,Virginia Commonwealth University,Richmond
109,The University of Oklahoma,Norman ...
110,Oklahoma State University,Stillwater ...
111,The University of Alabama,Tuscaloosa
